  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  3.3200e-13           40.05328042            0.00000000       11944.69250408         -116.62299487        11828.06950921 
  3.3400e-13           40.05456242            0.00000000       11945.07482070         -117.38765077        11827.68716993 
  3.3600e-13           40.05585573            0.00000000       11945.46051217         -118.15905481        11827.30145736 
  3.3800e-13           40.05715995            0.00000000       11945.84945653         -118.93696226        11826.91249427 
  3.4000e-13           40.05847472            0.00000000       11946.24154769         -119.72115998        11826.52038771 
  3.4200e-13           40.05979976            0.00000000       11946.63670130         -120.51147826        11826.12522304 
  3.4400e-13           40.06113488            0.00000000       11947.03486142         -121.30780409        11825.72705733 
  3.4600e-13           40.06248001            0.00000000       11947.43600762         -122.11009544        11825.32591218 
  3.4800e-13           40.06383524            0.00000000       11947.84016269         -122.91839661        11824.92176608 
  3.5000e-13           40.06520080            0.00000000       11948.24740058         -123.73285428        11824.51454631 
  3.5200e-13           40.06657715            0.00000000       11948.65785465         -124.55373385        11824.10412079 
  3.5400e-13           40.06796495            0.00000000       11949.07172567         -125.38143573        11823.69028994 
  3.5600e-13           40.06936514            0.00000000       11949.48928965         -126.21651084        11823.27277881 
  3.5800e-13           40.07077891            0.00000000       11949.91090487         -127.05967481        11822.85123006 
  3.6000e-13           40.07220776            0.00000000       11950.33701782         -127.91181994        11822.42519788 
  3.6200e-13           40.07365351            0.00000000       11950.76816766         -128.77402422        11821.99414344 
  3.6400e-13           40.07511827            0.00000000       11951.20498871         -129.64755626        11821.55743245 
  3.6600e-13           40.07660449            0.00000000       11951.64821040         -130.53387543        11821.11433497 
  3.6800e-13           40.07811493            0.00000000       11952.09865444         -131.43462611        11820.66402833 
  3.7000e-13           40.07965264            0.00000000       11952.55722852         -132.35162523        11820.20560329 
  3.7200e-13           40.08122090            0.00000000       11953.02491643         -133.28684252        11819.73807391 
  3.7400e-13           40.08282323            0.00000000       11953.50276423         -134.24237287        11819.26039135 
  3.7600e-13           40.08446329            0.00000000       11953.99186240         -135.22040064        11818.77146176 
  3.7800e-13           40.08614481            0.00000000       11954.49332415         -136.22315612        11818.27016802 
  3.8000e-13           40.08787150            0.00000000       11955.00825993         -137.25286469        11817.75539524 
  3.8200e-13           40.08964700            0.00000000       11955.53774897         -138.31168957        11817.22605940 
  3.8400e-13           40.09147471            0.00000000       11956.08280822         -139.40166971        11816.68113851 
  3.8600e-13           40.09335772            0.00000000       11956.64435975         -140.52465438        11816.11970537 
  3.8800e-13           40.09529870            0.00000000       11957.22319758         -141.68223669        11815.54096089 
  3.9000e-13           40.09729976            0.00000000       11957.81995513         -142.87568826        11814.94426687 
  3.9200e-13           40.09936240            0.00000000       11958.43507425         -144.10589720        11814.32917706 
  3.9400e-13           40.10148735            0.00000000       11959.06877719         -145.37331178        11813.69546541 
  3.9600e-13           40.10367454            0.00000000       11959.72104216         -146.67789163        11813.04315054 
